age,gender,education,marital_status,employment_status,years_employed,annual_income,credit_score,existing_debt,debt_to_income,num_credit_cards,num_dependents,has_property,approved
65,Male,Masters,Married,Unemployed,0.0,51144.57,496,11118.09,0.217,2,0,1,0
61,Male,Bachelors,Single,Unemployed,0.0,64606.77,774,8629.62,0.134,5,0,0,0
49,Female,High School,Single,Employed,6.0,45783.83,546,4453.82,0.097,5,3,1,1
35,Male,High School,Married,Unemployed,0.0,77810.71,634,14777.48,0.19,3,1,1,0
65,Female,Bachelors,Married,Employed,11.3,63443.04,785,7348.67,0.116,1,1,0,1
21,Male,Bachelors,Married,Employed,10.6,67255.41,850,1254.86,0.019,2,2,1,1
45,Female,Bachelors,Single,Self-Employed,15.8,75563.17,679,10128.69,0.134,1,3,1,0
27,Female,Bachelors,Single,Employed,3.8,81741.02,543,7516.94,0.092,4,0,1,1
29,Female,Bachelors,Married,Employed,17.0,66559.49,735,7862.28,0.118,0,0,1,1
44,Female,High School,Divorced,Unemployed,0.0,40127.59,641,8754.5,0.218,2,1,0,0
21,Male,High School,Single,Retired,14.5,33656.08,546,8335.87,0.248,1,1,1,0
64,Male,Bachelors,Married,Self-Employed,10.9,49428.35,669,16744.91,0.339,1,1,0,0
28,Female,Bachelors,Married,Self-Employed,2.8,44036.99,529,3193.72,0.073,2,0,1,1
44,Male,Bachelors,Married,Employed,1.8,78984.95,682,0.0,0.0,3,0,1,1
31,Male,High School,Divorced,Employed,0.0,80344.62,582,8003.53,0.1,5,0,0,0
37,Male,Bachelors,Married,Self-Employed,0.0,32380.94,464,12991.08,0.401,0,0,1,0
28,Male,Masters,Married,Employed,2.9,51308.75,501,0.0,0.0,1,0,0,0
55,Male,High School,Single,Employed,12.3,21115.57,580,10187.19,0.482,3,1,0,0
55,Female,Bachelors,Single,Employed,3.5,80502.89,710,0.0,0.0,1,0,0,1
53,Male,PhD,Married,Self-Employed,2.6,112172.06,793,13062.56,0.116,1,1,1,1
25,Female,Bachelors,Married,Employed,9.5,45473.21,776,8064.73,0.177,1,3,0,0
62,Male,Bachelors,Married,Self-Employed,1.7,109115.73,543,2720.83,0.025,2,0,0,0
59,Female,High School,Single,Employed,15.2,42300.67,625,0.0,0.0,4,1,0,1
61,Male,Bachelors,Married,Employed,4.7,93712.89,616,21086.47,0.225,2,1,0,0
48,Female,High School,Married,Employed,10.7,66170.82,648,21831.47,0.33,4,2,1,0
27,Female,PhD,Divorced,Employed,5.0,75837.98,789,1525.61,0.02,1,1,0,1
29,Male,Bachelors,Single,Unemployed,0.0,36639.35,657,1384.31,0.038,1,1,0,0
28,Female,Masters,Single,Employed,11.6,62551.66,734,8474.5,0.135,2,1,0,1
32,Female,Bachelors,Single,Employed,7.1,38113.61,843,5686.36,0.149,1,2,1,1
54,Female,Bachelors,Married,Employed,13.5,59935.57,514,6043.5,0.101,1,2,0,0
53,Female,Bachelors,Divorced,Employed,2.1,41028.0,602,9702.4,0.236,2,0,1,0
68,Male,Masters,Married,Employed,0.0,76501.05,714,19506.46,0.255,0,1,0,0
43,Female,PhD,Married,Employed,0.0,133659.13,715,16172.64,0.121,1,0,1,1
44,Male,Bachelors,Single,Retired,12.3,58933.76,748,6078.47,0.103,1,2,0,1
57,Male,Masters,Married,Self-Employed,10.5,68857.4,624,12332.68,0.179,0,1,1,1
55,Female,Bachelors,Married,Employed,4.7,52225.53,669,0.0,0.0,4,0,1,1
64,Male,Bachelors,Married,Employed,7.5,56977.59,585,8815.4,0.155,1,3,1,0
60,Female,Bachelors,Divorced,Employed,11.3,106422.65,773,6580.11,0.062,1,0,1,1
42,Female,High School,Married,Employed,5.0,28232.91,642,13780.73,0.488,3,0,0,0
47,Female,High School,Single,Self-Employed,0.0,49964.62,776,11731.58,0.235,0,1,0,0
55,Female,High School,Divorced,Unemployed,0.0,39307.26,771,9853.27,0.251,0,1,0,0
21,Male,Bachelors,Divorced,Employed,0.5,89309.77,554,10761.47,0.12,5,2,1,0
55,Male,Bachelors,Divorced,Unemployed,0.0,38346.58,785,5398.74,0.141,3,1,0,0
57,Male,Bachelors,Married,Employed,1.3,45746.49,731,13805.87,0.302,1,0,1,1
67,Male,PhD,Single,Employed,11.2,100790.01,661,10760.82,0.107,3,1,1,1
34,Male,Bachelors,Single,Employed,0.0,91293.27,746,7026.52,0.077,4,1,1,0
23,Male,Bachelors,Married,Employed,2.5,59542.33,609,8592.45,0.144,4,1,1,1
21,Female,High School,Single,Retired,0.0,13211.64,754,13064.54,0.989,0,1,0,0
25,Female,High School,Divorced,Employed,3.8,52204.14,660,13632.16,0.261,3,0,1,0
46,Male,Masters,Married,Employed,6.0,47528.26,728,5946.56,0.125,4,0,0,1
34,Female,Bachelors,Single,Retired,11.4,40626.82,588,2637.7,0.065,3,2,1,1
59,Male,Masters,Single,Unemployed,0.0,83560.51,692,5266.11,0.063,3,0,1,0
47,Male,High School,Single,Self-Employed,9.7,67496.94,738,5575.23,0.083,2,1,1,1
29,Female,Bachelors,Married,Retired,11.0,42122.71,673,8739.51,0.207,2,1,0,0
35,Female,High School,Married,Employed,8.0,83186.59,717,15184.52,0.183,2,1,0,0
35,Female,High School,Single,Unemployed,0.0,68197.5,590,5176.8,0.076,2,0,1,0
46,Male,High School,Married,Self-Employed,8.0,63281.72,684,10328.12,0.163,5,0,1,1
62,Female,High School,Single,Unemployed,0.0,8000.0,561,6894.64,0.862,2,2,0,0
33,Female,Bachelors,Single,Self-Employed,4.4,27401.77,637,8114.68,0.296,1,1,1,0
52,Female,High School,Married,Employed,8.8,77669.8,619,9817.77,0.126,2,0,0,0
59,Female,PhD,Married,Self-Employed,8.6,99894.56,656,15209.55,0.152,3,2,1,1
69,Female,Bachelors,Divorced,Employed,4.2,97711.08,516,9484.08,0.097,0,2,1,0
52,Female,High School,Married,Employed,10.7,23226.35,638,0.0,0.0,0,0,1,1
24,Female,High School,Single,Employed,4.1,46776.3,638,6805.29,0.145,1,0,0,1
50,Female,Bachelors,Divorced,Retired,8.3,65583.81,521,17414.62,0.266,5,2,1,0
57,Female,High School,Married,Employed,4.8,35404.25,673,14852.5,0.419,3,1,0,0
43,Male,Masters,Married,Employed,6.2,100295.7,749,12743.77,0.127,3,2,0,1
59,Female,PhD,Divorced,Employed,10.7,92544.41,699,15076.03,0.163,2,1,0,1
65,Male,High School,Married,Retired,0.0,30561.22,710,12944.14,0.424,1,2,0,0
35,Male,Bachelors,Single,Employed,9.1,41327.34,598,14959.7,0.362,1,0,0,0
63,Female,High School,Married,Self-Employed,9.5,55027.72,633,1294.98,0.024,0,2,1,1
49,Female,Bachelors,Married,Unemployed,0.0,88855.79,676,7640.85,0.086,3,1,1,0
56,Female,Bachelors,Divorced,Employed,5.8,72760.44,674,8885.33,0.122,1,0,1,1
33,Male,High School,Single,Employed,1.1,34165.51,430,8324.28,0.244,3,1,1,0
52,Male,High School,Married,Self-Employed,2.0,77910.83,581,4537.6,0.058,1,0,1,1
27,Male,Bachelors,Divorced,Retired,7.4,29768.57,730,8877.92,0.298,1,1,0,0
42,Female,Bachelors,Single,Self-Employed,19.1,99422.06,604,0.0,0.0,1,1,0,0
48,Female,High School,Single,Employed,9.3,24500.82,615,10719.0,0.437,0,2,1,0
22,Female,Bachelors,Single,Unemployed,0.0,50454.17,645,3957.28,0.078,0,1,1,0
62,Female,Bachelors,Married,Employed,9.9,95526.25,552,0.0,0.0,2,2,0,0
65,Female,Masters,Married,Employed,8.9,62663.62,798,8099.08,0.129,2,2,1,1
26,Female,High School,Single,Unemployed,0.0,31663.2,638,17288.69,0.546,2,0,1,0
48,Male,Masters,Single,Employed,4.4,103145.78,599,0.0,0.0,1,0,1,1
48,Male,Bachelors,Married,Self-Employed,5.3,19889.58,693,6541.74,0.329,2,1,1,0
64,Female,High School,Single,Employed,6.6,68537.68,632,0.0,0.0,2,0,1,1
64,Female,Bachelors,Single,Unemployed,0.0,43241.47,651,9542.33,0.221,3,2,1,0
40,Male,Bachelors,Married,Employed,6.7,93839.08,798,13226.25,0.141,3,2,0,1
50,Female,Masters,Single,Employed,1.3,63450.05,608,3144.56,0.05,1,2,1,1
31,Male,High School,Married,Unemployed,0.0,8000.0,731,5458.32,0.682,3,0,1,0
48,Male,Bachelors,Married,Employed,4.7,54139.27,621,7107.91,0.131,2,0,0,0
45,Female,Bachelors,Married,Employed,11.8,53721.67,658,15436.45,0.287,3,0,1,0
59,Female,PhD,Single,Retired,2.5,70870.28,687,0.0,0.0,4,0,0,0
53,Female,Bachelors,Married,Employed,4.8,55628.41,621,5276.75,0.095,2,1,1,1
21,Male,PhD,Divorced,Retired,4.2,34842.03,550,17424.26,0.5,5,0,0,0
47,Male,Masters,Married,Employed,13.9,78100.87,704,3635.87,0.047,1,2,0,0
33,Female,High School,Single,Employed,9.3,54635.93,753,5632.99,0.103,1,2,0,0
61,Female,Masters,Married,Self-Employed,1.3,76135.15,719,9080.78,0.119,3,2,0,0
23,Male,PhD,Married,Self-Employed,8.0,100736.56,729,21963.03,0.218,1,0,1,1
59,Female,High School,Divorced,Employed,0.9,51698.96,609,1295.76,0.025,0,0,0,0
26,Male,Bachelors,Married,Employed,7.3,37360.13,705,12532.16,0.335,1,0,0,0
28,Female,Bachelors,Single,Unemployed,0.0,38982.95,676,873.24,0.022,1,2,1,0
47,Female,High School,Single,Employed,0.0,52278.0,728,1954.7,0.037,5,1,1,1
29,Male,High School,Single,Employed,1.0,45256.59,656,4919.36,0.109,2,0,1,1
57,Male,High School,Married,Employed,6.8,20144.2,688,10789.06,0.536,2,0,1,0
53,Female,High School,Single,Employed,4.0,74462.26,618,4701.55,0.063,3,0,1,0
62,Female,Bachelors,Single,Employed,7.1,45556.89,710,8797.49,0.193,4,0,0,0
64,Female,High School,Married,Employed,5.6,25156.07,524,3695.02,0.147,1,1,1,0
44,Female,Masters,Single,Employed,0.0,80816.37,635,8488.93,0.105,2,1,1,1
35,Female,Bachelors,Married,Employed,9.1,58684.86,591,213.79,0.004,2,2,0,0
52,Female,High School,Married,Employed,0.0,62028.83,850,362.97,0.006,0,1,0,1
52,Male,Bachelors,Married,Self-Employed,7.0,82453.08,724,4918.79,0.06,2,0,1,1
44,Male,Bachelors,Divorced,Employed,3.7,79411.3,567,11666.5,0.147,3,0,0,0
61,Male,PhD,Single,Unemployed,0.0,74964.34,539,9162.78,0.122,2,1,0,0
69,Male,High School,Divorced,Self-Employed,5.4,61065.95,498,3353.76,0.055,2,0,1,1
69,Female,High School,Single,Employed,7.8,18799.74,531,1210.58,0.064,3,2,0,0
32,Male,Masters,Married,Self-Employed,8.8,101887.22,599,14202.86,0.139,1,2,1,1
59,Female,Masters,Married,Employed,7.7,71903.41,573,16179.46,0.225,0,1,1,0
22,Female,Bachelors,Single,Self-Employed,5.9,104398.76,635,11046.35,0.106,2,1,0,0
23,Female,Masters,Married,Retired,1.0,82496.0,741,10133.26,0.123,1,0,0,1
69,Male,High School,Divorced,Employed,5.4,46054.29,630,0.0,0.0,3,2,1,0
57,Male,Bachelors,Divorced,Self-Employed,0.0,65428.21,721,11561.84,0.177,2,5,0,0
69,Male,High School,Married,Employed,8.4,73681.23,565,17530.49,0.238,0,3,0,0
37,Male,High School,Married,Employed,20.6,8000.0,594,14433.28,1.804,2,1,1,0
69,Male,Masters,Single,Unemployed,0.0,56795.38,568,14108.34,0.248,4,0,0,0
22,Female,High School,Single,Employed,7.7,84028.47,706,0.0,0.0,2,2,0,1
22,Female,Bachelors,Single,Employed,0.0,81897.07,649,3774.13,0.046,1,2,0,0
48,Female,Masters,Married,Employed,1.9,63245.72,816,7130.96,0.113,1,1,1,1
43,Female,High School,Single,Self-Employed,10.5,56289.49,592,3730.13,0.066,2,1,1,0
57,Male,PhD,Married,Employed,0.0,75466.14,569,1040.75,0.014,1,1,1,1
52,Female,PhD,Married,Retired,2.4,68170.66,685,10514.7,0.154,1,0,1,1
53,Female,Bachelors,Married,Employed,8.8,71676.75,644,13980.45,0.195,3,0,0,0
21,Male,High School,Married,Employed,10.0,60196.5,700,0.0,0.0,2,1,1,0
39,Female,Bachelors,Married,Self-Employed,5.5,79588.37,659,14227.51,0.179,2,1,1,0
22,Male,Bachelors,Married,Employed,6.6,89675.75,657,9339.52,0.104,0,2,0,1
64,Female,Bachelors,Married,Self-Employed,6.6,41125.48,585,17738.2,0.431,2,1,1,0
46,Female,High School,Married,Employed,0.0,50480.42,625,12768.98,0.253,3,1,1,0
52,Male,PhD,Single,Employed,5.6,77993.06,526,8779.36,0.113,5,1,1,1
26,Female,High School,Married,Employed,7.2,42022.87,753,8826.39,0.21,1,1,1,1
52,Female,Bachelors,Single,Retired,5.6,29911.25,754,8012.78,0.268,5,1,0,0
24,Female,High School,Married,Employed,0.0,59988.07,739,18911.47,0.315,2,0,1,1
31,Male,Bachelors,Single,Self-Employed,13.7,86060.38,626,11672.33,0.136,1,2,0,1
37,Female,Masters,Divorced,Employed,0.5,102140.28,619,5792.09,0.057,1,0,1,1
58,Male,High School,Married,Employed,6.4,27896.54,683,11415.67,0.409,0,2,1,0
44,Male,High School,Single,Employed,7.6,47534.04,563,10796.52,0.227,2,2,1,0
25,Male,Bachelors,Married,Retired,3.7,22341.96,738,5463.09,0.245,3,3,1,0
54,Female,Bachelors,Married,Self-Employed,7.2,41675.44,431,3079.11,0.074,1,0,0,1
26,Female,Bachelors,Single,Self-Employed,2.1,51765.37,610,15091.72,0.292,2,2,1,0
42,Female,Bachelors,Married,Employed,16.7,71865.95,565,6425.62,0.089,1,2,0,0
31,Female,High School,Single,Employed,4.7,60378.3,767,6088.71,0.101,1,2,0,0
68,Male,PhD,Married,Employed,10.5,108084.59,775,11490.91,0.106,3,0,1,1
36,Male,Masters,Single,Retired,0.5,71847.17,711,4893.34,0.068,2,1,1,0
53,Male,Bachelors,Single,Employed,9.6,48042.98,821,9371.84,0.195,1,1,0,1
29,Male,Masters,Married,Employed,2.4,103655.18,677,5718.54,0.055,4,0,1,0
26,Male,Bachelors,Single,Employed,0.0,81065.6,722,0.0,0.0,0,1,1,1
36,Male,Bachelors,Divorced,Employed,0.7,56746.2,509,10318.1,0.182,2,1,1,0
49,Male,High School,Married,Employed,1.8,42501.61,617,9570.94,0.225,3,3,0,0
23,Male,Bachelors,Single,Unemployed,0.0,31849.17,650,10122.96,0.318,4,2,1,0
40,Male,Bachelors,Married,Employed,20.4,39163.13,562,0.0,0.0,3,0,1,1
56,Male,High School,Divorced,Unemployed,0.0,43320.5,669,0.0,0.0,0,2,1,0
39,Female,Bachelors,Divorced,Unemployed,0.0,61441.24,478,14975.13,0.244,2,0,1,0
46,Female,Masters,Married,Employed,10.8,61478.95,700,8443.41,0.137,1,0,1,0
23,Female,Bachelors,Single,Employed,0.0,40362.83,606,0.0,0.0,0,2,1,0
39,Male,Bachelors,Divorced,Employed,0.0,46269.26,577,8507.54,0.184,1,1,1,0
40,Male,Masters,Single,Retired,6.2,62204.89,723,0.0,0.0,0,1,1,1
52,Female,High School,Married,Employed,8.7,22360.45,767,4560.23,0.204,3,2,0,0
27,Male,Bachelors,Single,Employed,9.9,87556.2,749,9521.48,0.109,2,0,0,1
61,Male,Masters,Married,Employed,11.4,101359.15,602,9530.14,0.094,1,0,1,1
53,Male,Bachelors,Divorced,Employed,4.3,73486.9,721,14041.13,0.191,2,1,0,0
60,Male,Bachelors,Married,Employed,6.4,81194.71,642,10791.63,0.133,3,1,0,0
59,Male,High School,Married,Employed,10.1,51175.11,752,11169.65,0.218,4,0,1,1
38,Male,Masters,Single,Self-Employed,12.0,89303.08,689,5711.18,0.064,1,2,1,1
60,Female,Bachelors,Single,Unemployed,0.0,18996.36,501,2897.61,0.153,2,0,0,0
21,Male,Masters,Single,Employed,7.1,107809.59,657,8293.53,0.077,1,2,1,1
31,Male,Bachelors,Divorced,Employed,9.2,55252.94,578,14120.56,0.256,1,1,1,0
48,Female,Bachelors,Married,Unemployed,0.0,42423.98,576,12956.39,0.305,4,0,1,0
45,Male,Masters,Single,Employed,2.9,129744.02,660,6793.36,0.052,3,1,0,1
43,Male,Bachelors,Single,Unemployed,0.0,40599.85,669,7642.15,0.188,2,2,1,0
51,Female,Bachelors,Married,Employed,8.6,79788.04,746,2585.71,0.032,2,3,1,1
50,Male,Bachelors,Single,Self-Employed,2.2,75290.65,615,14903.04,0.198,0,0,1,0
62,Male,Masters,Single,Employed,0.0,53343.63,760,17690.72,0.332,1,2,0,0
55,Male,Bachelors,Married,Employed,16.3,45005.14,494,10635.97,0.236,1,1,1,0
27,Male,Bachelors,Single,Unemployed,0.0,85717.77,592,0.0,0.0,1,1,1,0
36,Female,High School,Single,Employed,10.7,61583.26,840,12040.39,0.196,2,1,1,1
46,Female,Masters,Divorced,Employed,7.0,79662.5,561,17927.17,0.225,1,0,1,1
68,Male,High School,Married,Employed,11.3,39287.04,757,1289.03,0.033,1,3,0,1
69,Female,Bachelors,Married,Unemployed,0.0,51401.55,648,13075.08,0.254,0,0,0,0
22,Male,Bachelors,Married,Employed,8.9,73302.95,655,6871.95,0.094,1,0,1,1
21,Male,Bachelors,Single,Unemployed,0.0,49530.43,733,15463.07,0.312,2,1,1,0
68,Female,Bachelors,Married,Employed,0.0,86379.21,739,1053.37,0.012,6,1,0,0
32,Male,High School,Single,Employed,3.6,32662.83,761,5398.0,0.165,0,1,0,0
25,Male,Bachelors,Divorced,Self-Employed,0.0,44985.97,625,0.0,0.0,3,3,0,0
57,Male,Masters,Single,Employed,0.0,100861.41,688,10037.22,0.1,1,4,0,0
52,Male,Masters,Divorced,Employed,7.5,122253.75,663,11318.61,0.093,1,2,0,1
29,Male,High School,Married,Employed,0.0,66851.85,558,10063.81,0.151,0,1,1,0
61,Female,Masters,Single,Employed,10.7,105955.07,693,4905.68,0.046,2,1,1,1
55,Male,Bachelors,Single,Self-Employed,13.2,63503.19,641,5363.52,0.084,4,1,1,1
39,Male,Masters,Single,Employed,0.0,85322.3,499,6036.78,0.071,3,0,1,1
68,Male,Bachelors,Single,Employed,7.4,70053.13,759,13311.89,0.19,2,2,1,0
36,Female,Bachelors,Married,Employed,15.3,63891.47,670,0.0,0.0,2,1,1,1
23,Female,Masters,Married,Employed,3.6,108225.94,616,5956.65,0.055,3,3,1,1
40,Female,Masters,Married,Employed,9.1,102316.95,706,0.0,0.0,1,1,0,1
44,Female,Bachelors,Single,Retired,18.0,37015.32,596,5544.6,0.15,2,1,0,0
53,Female,High School,Single,Unemployed,0.0,8000.0,647,7914.66,0.989,2,1,0,0
44,Male,Bachelors,Married,Employed,0.9,63728.51,781,20602.77,0.323,0,1,0,0
31,Male,Bachelors,Married,Employed,8.8,41906.96,681,3993.73,0.095,1,1,0,1
69,Female,High School,Single,Retired,16.9,30473.5,596,14162.42,0.465,3,0,0,0
28,Female,High School,Single,Employed,2.4,28482.68,546,0.0,0.0,0,2,0,0
56,Female,Masters,Single,Employed,18.2,105130.33,613,8238.76,0.078,3,0,1,1
58,Male,High School,Married,Self-Employed,6.7,63688.45,729,8225.75,0.129,4,1,1,1
60,Male,Bachelors,Married,Employed,0.0,78202.63,659,12471.43,0.159,0,1,1,0
40,Male,High School,Married,Employed,14.0,71443.72,711,4722.76,0.066,1,1,0,1
55,Female,Bachelors,Divorced,Retired,3.7,52822.14,626,3290.58,0.062,4,0,0,0
68,Male,High School,Married,Self-Employed,8.2,60936.04,571,0.0,0.0,2,1,0,1
45,Male,High School,Single,Employed,0.0,78693.97,718,9986.29,0.127,1,0,1,1
55,Female,Masters,Single,Employed,2.2,77309.7,590,4147.65,0.054,4,2,1,0
